par1,par2,par3,par4,par5,par6,par7,par8,par9,weather
76,6,101218.0,42,0,3280.0,71,4,18098.0,1
77,6,79975.0,54,0,9744.0,70,4,28356.0,1
75,6,85584.0,68,0,11881.0,59,0,8889.0,1
70,6,133163.0,126,0,27614.0,26,1,69.0,1
67,5,177702.0,131,9,45291.0,21,0,436.0,1
71,5,194888.0,124,0,35080.0,32,0,434.0,1
76,5,210111.0,123,9,39684.0,42,0,1076.0,1
80,5,201293.0,119,0,31346.0,51,1,3436.0,1
87,5,197882.0,91,0,24624.0,69,1,6631.0,1
89,5,202641.0,96,0,26644.0,68,1,6798.0,1
90,5,226370.0,107,0,32635.0,66,1,7616.0,1
91,5,226857.0,108,0,33936.0,68,1,11798.0,1
92,5,209237.0,92,0,23422.0,76,1,18109.0,1
94,5,204091.0,64,0,21747.0,92,4,28562.0,1
96,6,183339.0,37,0,9854.0,109,4,37746.0,1
97,6,186642.0,40,0,10254.0,109,4,49678.0,1
97,6,187436.0,43,0,12679.0,108,4,55303.0,1
97,6,187563.0,45,0,13770.0,108,4,57231.0,1
97,6,188913.0,45,0,13902.0,108,4,56964.0,1
97,6,188692.0,45,0,13837.0,108,4,56942.0,1
97,6,189362.0,45,0,13961.0,108,4,56975.0,1
97,6,188820.0,45,0,13848.0,108,4,56927.0,1
97,6,189358.0,45,0,13960.0,108,4,56974.0,1
97,6,188835.0,45,0,13876.0,108,4,56943.0,1
97,6,189338.0,45,0,13954.0,108,4,56980.0,1
97,6,188865.0,45,0,13873.0,108,4,56946.0,1
97,6,189361.0,45,0,13972.0,108,4,56979.0,1
98,6,185375.0,35,0,9647.0,114,4,59878.0,1
98,6,184270.0,38,0,11211.0,109,4,25102.0,1
101,6,185764.0,33,0,10746.0,114,4,56125.0,1
103,6,184862.0,33,0,13338.0,119,4,75207.0,1
102,6,195510.0,34,0,14580.0,118,4,67711.0,1
101,6,203812.0,33,0,11376.0,119,4,62018.0,1
94,6,171350.0,40,0,7238.0,115,4,74890.0,1
90,6,161507.0,40,0,4804.0,105,4,34821.0,1
90,6,170340.0,33,0,5136.0,104,4,21416.0,1
91,6,163046.0,37,0,5193.0,105,4,53157.0,1
91,6,164208.0,38,0,6581.0,106,4,74798.0,1
91,6,158349.0,37,0,9537.0,104,4,66619.0,1
84,6,154562.0,49,0,16109.0,93,4,29896.0,1
89,6,160180.0,41,0,12010.0,100,4,27870.0,1
83,6,137076.0,72,0,20813.0,82,4,44644.0,1
85,6,124167.0,55,0,9753.0,91,4,38664.0,1
84,6,131088.0,48,0,5575.0,93,4,40993.0,1
84,6,124334.0,51,0,5052.0,92,4,58508.0,1
82,6,125395.0,48,0,6790.0,86,4,38498.0,1
85,6,121563.0,50,0,5977.0,91,4,66277.0,1
83,6,131637.0,53,0,7245.0,83,4,15265.0,1
81,6,118546.0,40,0,4900.0,87,4,33292.0,1
82,6,121937.0,42,0,5087.0,85,4,16798.0,1
82,6,117984.0,50,0,9024.0,83,4,47141.0,1
83,6,120775.0,44,0,4897.0,88,4,20891.0,1
84,6,139891.0,59,0,11191.0,79,4,17742.0,1
85,6,136000.0,50,0,6668.0,89,4,14216.0,1
83,6,134894.0,49,0,6654.0,91,4,35239.0,1
87,6,152387.0,49,0,8586.0,94,4,21454.0,1
91,6,165557.0,36,0,6621.0,106,4,52525.0,1
98,6,206897.0,47,0,11416.0,112,4,38081.0,1
101,6,216479.0,30,0,9909.0,124,4,71157.0,1
100,5,218596.0,33,0,9651.0,121,4,60999.0,1
99,5,224571.0,36,0,9656.0,114,4,12961.0,1
96,5,208541.0,38,0,8479.0,110,4,19640.0,1
93,6,188726.0,41,0,7435.0,106,4,49870.0,1
91,6,181535.0,40,0,6409.0,103,4,24855.0,1
91,6,173788.0,39,0,6112.0,103,4,32163.0,1
89,6,170145.0,40,0,4130.0,102,4,19462.0,1
91,6,162918.0,44,0,4200.0,103,4,26685.0,1
91,6,162523.0,46,0,4111.0,103,4,31001.0,1
90,6,159873.0,44,0,3419.0,102,4,36678.0,1
90,6,155518.0,45,0,3190.0,102,4,44827.0,1
91,6,160903.0,47,0,4062.0,102,4,20895.0,1
91,6,155115.0,46,0,6438.0,103,4,17346.0,1
91,6,158781.0,45,0,6679.0,101,4,15866.0,1
94,6,168112.0,44,0,6719.0,102,4,17706.0,1
97,6,170971.0,39,0,7691.0,105,4,36943.0,1
97,6,183554.0,41,0,9535.0,102,4,19100.0,1
98,6,181444.0,37,0,10219.0,105,4,33677.0,1
98,6,183917.0,38,0,11074.0,105,4,16651.0,1
97,6,185627.0,43,0,13075.0,99,4,8910.0,1
93,6,172689.0,48,0,12439.0,99,4,24913.0,1
93,6,174977.0,40,0,6412.0,112,4,57373.0,1
93,6,177544.0,48,0,8054.0,107,4,28467.0,1
100,6,212265.0,43,0,15197.0,110,4,17923.0,1
100,6,211508.0,43,0,15093.0,110,4,17823.0,1
98,6,212067.0,41,0,11808.0,108,4,17048.0,1
99,6,204622.0,42,0,13008.0,110,4,37856.0,1
99,6,209478.0,39,0,8232.0,114,4,33525.0,1
97,5,212358.0,40,0,7923.0,111,4,5207.0,1
95,6,195549.0,40,0,9212.0,105,4,8404.0,1
93,6,190967.0,38,0,7237.0,105,4,11097.0,1
92,6,183136.0,42,0,9746.0,100,4,6263.0,1
83,6,154441.0,53,0,8135.0,90,4,10454.0,1
84,6,135742.0,52,0,6160.0,94,4,13749.0,1
88,6,151992.0,51,0,9847.0,92,4,12394.0,1
91,6,162663.0,54,0,11818.0,90,4,35767.0,1
